STATISTIC_CODE,Statistic,CSOED_3409,Electoral_Division,TLISTA1,CensusYear,UNIT,VALUE,GUID,ED_ID
FP009C01,Population - 2016,27042,"Baile an Teampaill (Part Rural), Co.Galway, ",2022,2022,Number,1472.0,2AE19629206913A3E055000000000001,67021
FP009C01,Population - 2016,20036,"Singland A, Co.Limerick, ",2022,2022,Number,1664.0,2AE19629180113A3E055000000000001,128035
FP009C01,Population - 2016,10004,"Dundalk Urban No. , Co.Louth, ",2022,2022,Number,2176.0,2AE19629193613A3E055000000000001,147040
FP009C01,Population - 2016,02093,"Whitehall D, Co.Dublin, ",2022,2022,Number,3456.0,2AE196291E0C13A3E055000000000001,268160
FP009C01,Population - 2016,03009,"Clondalkin-Rowlagh, Co.Dublin, ",2022,2022,Number,4096.0,2AE196291D0113A3E055000000000001,267052
FP009C01,Population - 2016,05029,"Clonskeagh-Milltown, Co.Dublin, ",2022,2022,Number,2049.0,2AE196291D1813A3E055000000000001,267055
FP009C01,Population - 2016,02139,"Rathmines West B, Co.Dublin, ",2022,2022,Number,3713.0,2AE196291DD813A3E055000000000001,268133
FP009C01,Population - 2016,02146,"St. Kevin's, Co.Dublin, ",2022,2022,Number,5122.0,2AE196291DEE13A3E055000000000001,268142
FP009C01,Population - 2016,19084,"Killorglin, Co.Co.Kerry, ",2022,2022,Number,4355.0,2AE1962922A013A3E055000000000001,77106
FP009C01,Population - 2016,01012,"Ballinacarrig, Co.Carlow, ",2022,2022,Number,1025.0,2AE19629183713A3E055000000000001,17002
FP009C01,Population - 2016,07054,"Paulstown, Co.Kilkenny, ",2022,2022,Number,1025.0,2AE1962923D613A3E055000000000001,97082
FP009C01,Population - 2016,16155,"Tulla, Co.Clare, ",2022,2022,Number,1089.0,2AE19629202713A3E055000000000001,37150
FP009C01,Population - 2016,32066,"Killashandra, Co.Cavan, ",2022,2022,Number,1153.0,2AE196291CF313A3E055000000000001,27057
FP009C01,Population - 2016,18129,"Coole, Co.Cork, ",2022,2022,Number,1153.0,2AE196291F5313A3E055000000000001,47111
